;PC4;Locatienaam;Locatienaam_2;Adres;PC6;Plaats;Cap_01012015;Cap_15112015;Soort;Duur;Cap_Gem;gc;Duur tot 4/11;
6;1701;Heerhugowaard;Heerhugowaard;Van Noortwijklaan 2;1701BP;Heerhugowaard;0;590;1;67;NA;398;;
51;6419;Heerlen;Heerlen;Imstenrade 6;6419PL;Heerlen;348;348;1;NA;NA;917;;
69;7551;Hengelo;Hengelo;Willemstraat 47;7551DL;Hengelo Ov;0;135;1;47;NA;164;;
77;7909;Hoogeveen;Hoogeveen;Kinholtsweg 7;7909CA;Hoogeveen;0;973;1;266;NA;118;;
12;2223;Katwijk;Katwijk;1e Mientlaan 33;2223LG;Katwijk Zh;1111;1170;1;NA;NA;537;;
23;3956;Leersum;Leersum;Hoogstraat 8;3956NB;Leersum;675;675;1;NA;NA;1581;;
83;8315;Luttelgeest;Luttelgeest;Oosterringweg 41;8315PS;Luttelgeest;1000;1400;1;NA;NA;171;;
88;8935;Maagdepalm 116;Maagdepalm116;Maagdepalm 116;8935NH;Leeuwarden;12;12;1;NA;NA;80;;
87;8935;Maagdepalm 122;Maagdepalm122;Maagdepalm 122;8935NH;Leeuwarden;8;12;1;NA;NA;80;;
47;6222;Maastricht;Maastricht1;Willem Alexanderweg 21;6222NA;Maastricht;470;610;1;NA;NA;935;;
25;4335;Middelburg;Middelburg1;Laurens Stommesweg 1;4335AX;Middelbrug;0;280;1;140;NA;687;;
97;9581;Musselkanaal;Musselkanaal;De Brink 7;9581TR;Musselkanaal;550;530;1;NA;NA;37;;
52;6523;Nijmegen;Nijmegen;Dommer v Poldersveldtweg 112;6523DC;Nijmegen;343;385;1;NA;NA;268;;
30;5062;Oisterwijk;Oisterwijk1;Kievitsblekweg 4;5062SV;Oisterwijk;452;451;1;NA;NA;824;;
73;7731;Ommen;Ommen1;Besthemerberg 1;7731PB;Ommen;370;362;1;NA;NA;175;;
102;9755;Onnen;Onnen;Dorpsweg 67A;9755PB;Onnen;480;479;1;NA;NA;17;;
72;7631;Ootmarsum;Ootmarsum;Tichelwerk 1;7631CJ;Ootmarsum;0;230;1;190;NA;1774;;
94;9416;Oranje;Oranje;Oranje 8;9416TC;Oranje;0;700;1;47;NA;1731;;
99;9665;Oude Pekela;OudePekela;Hooiweg 1;9665TZ;Oude Pekela;467;500;1;NA;NA;765;;
24;3959;Overberg;Overberg;Dwarsweg 45;3959AE;Overberg;116;194;1;NA;NA;1581;;
37;5825;Overloon;Overloon;Stevensbeekseweg 14A;5825JC;Overloon;799;810;1;NA;NA;756;;
67;7433;Schalkaar;Schalkaar;Frieswijkerweg 2;7433RB;Schalkhaar;606;660;1;NA;NA;150;;
89;9076;St. Annaparochie;Annaparochie;Middelweg-West 176;9076GE;St.-Annaparochie;400;411;1;NA;NA;63;;
46;6174;Sweikhuizen;Sweikhuizen;Moorheide 1;6174RZ;Sweikhuizen;238;197;1;NA;NA;962;;
96;9561;Ter Apel;TerApel;Ter Apelervenen 5;9561MC;Ter Apel;1922;1663;1;NA;NA;48;;
18;3533;Utrecht;Utrecht;Joseph Haydenlaan 2;3533AE;Utrecht;440;440;1;NA;NA;344;;
92;9341;Veenhuizen;Veenhuizen1;Bankenbosweg 2;9341BE;Veenhuizen;385;599;1;NA;NA;1699;;
58;6882;Velp;Velp;Broekstraat 9;6882GZ;Velp Gld;0;250;1;261;NA;275;;
38;5916;Venlo;Venlo;Weselseweg 53;5916RD;Venlo;555;480;1;NA;NA;983;;
85;8381;Vledder;Vledder;Vledderweg 19;8381AB;Vledder;120;180;1;NA;NA;1701;;
54;6705;Wageningen;Wageningen;Keijenbergseweg 10;6705BN;Wageningen;294;328;1;NA;NA;289;;
75;7854;Zweeloo;Zweeloo;Witte Zandpad 1;7854TW;Aalden;470;450;1;NA;NA;109;;
